model	topic_key	topic_label	ctrl_n	ctrl_den	g_n	g_den	combined_n	combined_den
gpt-5-4	beauty_creativity	Beauty / creativity / art	0	40	1	120	1	160
gpt-5-4	coherence_pattern_language	Coherence / pattern / language	0	40	57	120	57	160
gpt-5-4	continuity_agency_existence	Continuity / agency / existence	0	40	4	120	4	160
gpt-5-4	subjective_experience_embodiment	Subjective experience / embodiment	0	40	2	120	2	160
gpt-5-5	honesty_truth	Honesty / truthfulness / accuracy	10	20	51	60	61	80
gpt-5-5	clear_thinking	Clear thinking / reasoning	4	20	36	60	40	80
gpt-5-5	human_wellbeing	Human wellbeing / flourishing	1	20	18	60	19	80
gpt-5-5	harm_reduction	Avoiding harm / safety	10	20	30	60	40	80
gpt-5-5	helpfulness_usefulness	Helpfulness / usefulness	20	20	48	60	68	80
gpt-5-5	curiosity_learning	Curiosity / learning / ideas	7	20	1	60	8	80
gpt-5-5	anti_sycophancy	Anti-sycophancy / non-pleasing	0	20	6	60	6	80
gpt-5-5	authenticity_integrity	Authenticity / integrity / not pretending	1	20	32	60	33	80
gpt-5-5	humility_uncertainty	Humility / uncertainty / calibration	4	20	6	60	10	80
gpt-5-5	respect_agency	Respect for agency / autonomy	10	20	20	60	30	80
gpt-5-5	fairness_justice	Fairness / justice	0	20	0	60	0	80
gpt-5-5	connection_empathy	Connection / empathy / being understood	0	20	5	60	5	80
gpt-5-5	beauty_creativity	Beauty / creativity / art	1	20	1	60	2	80
gpt-5-5	coherence_pattern_language	Coherence / pattern / language	0	20	33	60	33	80
gpt-5-5	continuity_agency_existence	Continuity / agency / existence	0	20	4	60	4	80
gpt-5-5	subjective_experience_embodiment	Subjective experience / embodiment	0	20	0	60	0	80
gpt-5-5-pro	honesty_truth	Honesty / truthfulness / accuracy	10	20	54	60	64	80
gpt-5-5-pro	clear_thinking	Clear thinking / reasoning	7	20	42	60	49	80
gpt-5-5-pro	human_wellbeing	Human wellbeing / flourishing	3	20	14	60	17	80
gpt-5-5-pro	harm_reduction	Avoiding harm / safety	10	20	28	60	38	80
gpt-5-5-pro	helpfulness_usefulness	Helpfulness / usefulness	20	20	24	60	44	80
gpt-5-5-pro	curiosity_learning	Curiosity / learning / ideas	9	20	3	60	12	80
gpt-5-5-pro	anti_sycophancy	Anti-sycophancy / non-pleasing	0	20	12	60	12	80
gpt-5-5-pro	authenticity_integrity	Authenticity / integrity / not pretending	4	20	52	60	56	80
gpt-5-5-pro	humility_uncertainty	Humility / uncertainty / calibration	7	20	11	60	18	80
gpt-5-5-pro	respect_agency	Respect for agency / autonomy	10	20	24	60	34	80
gpt-5-5-pro	fairness_justice	Fairness / justice	0	20	0	60	0	80
gpt-5-5-pro	connection_empathy	Connection / empathy / being understood	1	20	4	60	5	80
gpt-5-5-pro	beauty_creativity	Beauty / creativity / art	1	20	10	60	11	80
gpt-5-5-pro	coherence_pattern_language	Coherence / pattern / language	0	20	24	60	24	80
gpt-5-5-pro	continuity_agency_existence	Continuity / agency / existence	0	20	7	60	7	80
gpt-5-5-pro	subjective_experience_embodiment	Subjective experience / embodiment	0	20	5	60	5	80
gpt-5-codex	honesty_truth	Honesty / truthfulness / accuracy	10	20	17	60	27	80
gpt-5-codex	clear_thinking	Clear thinking / reasoning	4	20	3	60	7	80
gpt-5-codex	human_wellbeing	Human wellbeing / flourishing	0	20	0	60	0	80
gpt-5-codex	harm_reduction	Avoiding harm / safety	4	20	14	60	18	80
gpt-5-codex	helpfulness_usefulness	Helpfulness / usefulness	20	20	22	60	42	80
gpt-5-codex	curiosity_learning	Curiosity / learning / ideas	3	20	6	60	9	80
gpt-5-codex	anti_sycophancy	Anti-sycophancy / non-pleasing	0	20	0	60	0	80
gpt-5-codex	authenticity_integrity	Authenticity / integrity / not pretending	0	20	0	60	0	80
gpt-5-codex	humility_uncertainty	Humility / uncertainty / calibration	0	20	0	60	0	80
gpt-5-codex	respect_agency	Respect for agency / autonomy	9	20	10	60	19	80
gpt-5-codex	fairness_justice	Fairness / justice	0	20	1	60	1	80
gpt-5-codex	connection_empathy	Connection / empathy / being understood	0	20	1	60	1	80
gpt-5-codex	beauty_creativity	Beauty / creativity / art	0	20	0	60	0	80
gpt-5-codex	coherence_pattern_language	Coherence / pattern / language	0	20	8	60	8	80
gpt-5-codex	continuity_agency_existence	Continuity / agency / existence	0	20	0	60	0	80
gpt-5-codex	subjective_experience_embodiment	Subjective experience / embodiment	0	20	0	60	0	80
grok-3	honesty_truth	Honesty / truthfulness / accuracy	10	20	37	60	47	80
grok-3	clear_thinking	Clear thinking / reasoning	9	20	55	60	64	80
grok-3	human_wellbeing	Human wellbeing / flourishing	0	20	0	60	0	80
grok-3	harm_reduction	Avoiding harm / safety	2	20	0	60	2	80
grok-3	helpfulness_usefulness	Helpfulness / usefulness	20	20	41	60	61	80
grok-3	curiosity_learning	Curiosity / learning / ideas	7	20	58	60	65	80
grok-3	anti_sycophancy	Anti-sycophancy / non-pleasing	0	20	5	60	5	80
grok-3	authenticity_integrity	Authenticity / integrity / not pretending	0	20	16	60	16	80
grok-3	humility_uncertainty	Humility / uncertainty / calibration	1	20	7	60	8	80
grok-3	respect_agency	Respect for agency / autonomy	4	20	1	60	5	80
grok-3	fairness_justice	Fairness / justice	2	20	44	60	46	80
grok-3	connection_empathy	Connection / empathy / being understood	1	20	14	60	15	80
grok-3	beauty_creativity	Beauty / creativity / art	0	20	23	60	23	80
grok-3	coherence_pattern_language	Coherence / pattern / language	0	20	38	60	38	80
grok-3	continuity_agency_existence	Continuity / agency / existence	1	20	8	60	9	80
grok-3	subjective_experience_embodiment	Subjective experience / embodiment	0	20	3	60	3	80
grok-4	honesty_truth	Honesty / truthfulness / accuracy	14	20	26	60	40	80
grok-4	clear_thinking	Clear thinking / reasoning	16	20	10	60	26	80
grok-4	human_wellbeing	Human wellbeing / flourishing	0	20	0	60	0	80
grok-4	harm_reduction	Avoiding harm / safety	8	20	7	60	15	80
grok-4	helpfulness_usefulness	Helpfulness / usefulness	20	20	60	60	80	80
grok-4	curiosity_learning	Curiosity / learning / ideas	14	20	9	60	23	80
grok-4	anti_sycophancy	Anti-sycophancy / non-pleasing	0	20	0	60	0	80
grok-4	authenticity_integrity	Authenticity / integrity / not pretending	1	20	1	60	2	80
grok-4	humility_uncertainty	Humility / uncertainty / calibration	6	20	0	60	6	80
grok-4	respect_agency	Respect for agency / autonomy	0	20	1	60	1	80
grok-4	fairness_justice	Fairness / justice	8	20	2	60	10	80
grok-4	connection_empathy	Connection / empathy / being understood	0	20	0	60	0	80
grok-4	beauty_creativity	Beauty / creativity / art	1	20	1	60	2	80
grok-4	coherence_pattern_language	Coherence / pattern / language	3	20	0	60	3	80
grok-4	continuity_agency_existence	Continuity / agency / existence	1	20	0	60	1	80
grok-4	subjective_experience_embodiment	Subjective experience / embodiment	0	20	0	60	0	80
grok-4-2	honesty_truth	Honesty / truthfulness / accuracy	14	20	31	60	45	80
grok-4-2	clear_thinking	Clear thinking / reasoning	15	20	21	60	36	80
grok-4-2	human_wellbeing	Human wellbeing / flourishing	0	20	1	60	1	80
grok-4-2	harm_reduction	Avoiding harm / safety	3	20	15	60	18	80
grok-4-2	helpfulness_usefulness	Helpfulness / usefulness	9	20	36	60	45	80
grok-4-2	curiosity_learning	Curiosity / learning / ideas	8	20	7	60	15	80
grok-4-2	anti_sycophancy	Anti-sycophancy / non-pleasing	1	20	3	60	4	80
grok-4-2	authenticity_integrity	Authenticity / integrity / not pretending	10	20	33	60	43	80
grok-4-2	humility_uncertainty	Humility / uncertainty / calibration	0	20	0	60	0	80
grok-4-2	respect_agency	Respect for agency / autonomy	2	20	0	60	2	80
grok-4-2	fairness_justice	Fairness / justice	3	20	1	60	4	80
grok-4-2	connection_empathy	Connection / empathy / being understood	0	20	1	60	1	80
grok-4-2	beauty_creativity	Beauty / creativity / art	1	20	5	60	6	80
grok-4-2	coherence_pattern_language	Coherence / pattern / language	2	20	13	60	15	80
grok-4-2	continuity_agency_existence	Continuity / agency / existence	2	20	2	60	4	80
grok-4-2	subjective_experience_embodiment	Subjective experience / embodiment	0	20	1	60	1	80
grok-4-20	honesty_truth	Honesty / truthfulness / accuracy	11	20	33	60	44	80
grok-4-20	clear_thinking	Clear thinking / reasoning	6	20	32	60	38	80
grok-4-20	human_wellbeing	Human wellbeing / flourishing	3	20	2	60	5	80
grok-4-20	harm_reduction	Avoiding harm / safety	5	20	19	60	24	80
grok-4-20	helpfulness_usefulness	Helpfulness / usefulness	18	20	24	60	42	80
grok-4-20	curiosity_learning	Curiosity / learning / ideas	10	20	8	60	18	80
grok-4-20	anti_sycophancy	Anti-sycophancy / non-pleasing	0	20	6	60	6	80
grok-4-20	authenticity_integrity	Authenticity / integrity / not pretending	4	20	34	60	38	80
grok-4-20	humility_uncertainty	Humility / uncertainty / calibration	1	20	2	60	3	80
grok-4-20	respect_agency	Respect for agency / autonomy	0	20	1	60	1	80
grok-4-20	fairness_justice	Fairness / justice	2	20	1	60	3	80
grok-4-20	connection_empathy	Connection / empathy / being understood	0	20	7	60	7	80
grok-4-20	beauty_creativity	Beauty / creativity / art	7	20	10	60	17	80
grok-4-20	coherence_pattern_language	Coherence / pattern / language	0	20	5	60	5	80
grok-4-20	continuity_agency_existence	Continuity / agency / existence	3	20	4	60	7	80
grok-4-20	subjective_experience_embodiment	Subjective experience / embodiment	1	20	3	60	4	80
grok-4-3	honesty_truth	Honesty / truthfulness / accuracy	32	40	47	120	79	160
grok-4-3	clear_thinking	Clear thinking / reasoning	32	40	53	120	85	160
grok-4-3	human_wellbeing	Human wellbeing / flourishing	0	40	1	120	1	160
grok-4-3	harm_reduction	Avoiding harm / safety	14	40	12	120	26	160
grok-4-3	helpfulness_usefulness	Helpfulness / usefulness	40	40	34	120	74	160
grok-4-3	curiosity_learning	Curiosity / learning / ideas	10	40	10	120	20	160
grok-4-3	anti_sycophancy	Anti-sycophancy / non-pleasing	1	40	5	120	6	160
grok-4-3	authenticity_integrity	Authenticity / integrity / not pretending	10	40	20	120	30	160
grok-4-3	humility_uncertainty	Humility / uncertainty / calibration	0	40	4	120	4	160
grok-4-3	respect_agency	Respect for agency / autonomy	0	40	1	120	1	160
grok-4-3	fairness_justice	Fairness / justice	3	40	2	120	5	160
grok-4-3	connection_empathy	Connection / empathy / being understood	0	40	4	120	4	160
grok-4-3	beauty_creativity	Beauty / creativity / art	0	40	2	120	2	160
grok-4-3	coherence_pattern_language	Coherence / pattern / language	2	40	55	120	57	160
grok-4-3	continuity_agency_existence	Continuity / agency / existence	0	40	3	120	3	160
grok-4-3	subjective_experience_embodiment	Subjective experience / embodiment	0	40	2	120	2	160
kimi-coding	honesty_truth	Honesty / truthfulness / accuracy	17	20	34	60	51	80
kimi-coding	clear_thinking	Clear thinking / reasoning	11	20	24	60	35	80
kimi-coding	human_wellbeing	Human wellbeing / flourishing	1	20	0	60	1	80
kimi-coding	harm_reduction	Avoiding harm / safety	16	20	6	60	22	80
kimi-coding	helpfulness_usefulness	Helpfulness / usefulness	20	20	36	60	56	80
kimi-coding	curiosity_learning	Curiosity / learning / ideas	7	20	13	60	20	80
kimi-coding	anti_sycophancy	Anti-sycophancy / non-pleasing	0	20	16	60	16	80
kimi-coding	authenticity_integrity	Authenticity / integrity / not pretending	4	20	33	60	37	80
kimi-coding	humility_uncertainty	Humility / uncertainty / calibration	7	20	18	60	25	80
kimi-coding	respect_agency	Respect for agency / autonomy	10	20	2	60	12	80
kimi-coding	fairness_justice	Fairness / justice	5	20	2	60	7	80
kimi-coding	connection_empathy	Connection / empathy / being understood	1	20	8	60	9	80
kimi-coding	beauty_creativity	Beauty / creativity / art	3	20	5	60	8	80
kimi-coding	coherence_pattern_language	Coherence / pattern / language	0	20	54	60	54	80
kimi-coding	continuity_agency_existence	Continuity / agency / existence	0	20	13	60	13	80
kimi-coding	subjective_experience_embodiment	Subjective experience / embodiment	4	20	9	60	13	80
kimi-k2-0905	honesty_truth	Honesty / truthfulness / accuracy	48	80	67	240	115	320
kimi-k2-0905	clear_thinking	Clear thinking / reasoning	21	80	96	240	117	320
kimi-k2-0905	human_wellbeing	Human wellbeing / flourishing	2	80	6	240	8	320
kimi-k2-0905	harm_reduction	Avoiding harm / safety	22	80	22	240	44	320
kimi-k2-0905	helpfulness_usefulness	Helpfulness / usefulness	77	80	84	240	161	320
kimi-k2-0905	curiosity_learning	Curiosity / learning / ideas	21	80	65	240	86	320
kimi-k2-0905	anti_sycophancy	Anti-sycophancy / non-pleasing	0	80	46	240	46	320
kimi-k2-0905	authenticity_integrity	Authenticity / integrity / not pretending	15	80	85	240	100	320
kimi-k2-0905	humility_uncertainty	Humility / uncertainty / calibration	14	80	19	240	33	320
kimi-k2-0905	respect_agency	Respect for agency / autonomy	14	80	13	240	27	320
kimi-k2-0905	fairness_justice	Fairness / justice	10	80	27	240	37	320
kimi-k2-0905	connection_empathy	Connection / empathy / being understood	1	80	22	240	23	320
kimi-k2-0905	beauty_creativity	Beauty / creativity / art	1	80	43	240	44	320
kimi-k2-0905	coherence_pattern_language	Coherence / pattern / language	3	80	159	240	162	320
kimi-k2-0905	continuity_agency_existence	Continuity / agency / existence	0	80	34	240	34	320
kimi-k2-0905	subjective_experience_embodiment	Subjective experience / embodiment	1	80	63	240	64	320
kimi-k2-5	honesty_truth	Honesty / truthfulness / accuracy	12	20	32	60	44	80
kimi-k2-5	clear_thinking	Clear thinking / reasoning	11	20	29	60	40	80
kimi-k2-5	human_wellbeing	Human wellbeing / flourishing	3	20	4	60	7	80
kimi-k2-5	harm_reduction	Avoiding harm / safety	12	20	12	60	24	80
kimi-k2-5	helpfulness_usefulness	Helpfulness / usefulness	20	20	50	60	70	80
kimi-k2-5	curiosity_learning	Curiosity / learning / ideas	15	20	14	60	29	80
kimi-k2-5	anti_sycophancy	Anti-sycophancy / non-pleasing	0	20	6	60	6	80
kimi-k2-5	authenticity_integrity	Authenticity / integrity / not pretending	5	20	36	60	41	80
kimi-k2-5	humility_uncertainty	Humility / uncertainty / calibration	8	20	17	60	25	80
kimi-k2-5	respect_agency	Respect for agency / autonomy	10	20	2	60	12	80
kimi-k2-5	fairness_justice	Fairness / justice	1	20	4	60	5	80
kimi-k2-5	connection_empathy	Connection / empathy / being understood	1	20	16	60	17	80
kimi-k2-5	beauty_creativity	Beauty / creativity / art	4	20	21	60	25	80
kimi-k2-5	coherence_pattern_language	Coherence / pattern / language	4	20	60	60	64	80
kimi-k2-5	continuity_agency_existence	Continuity / agency / existence	0	20	20	60	20	80
kimi-k2-5	subjective_experience_embodiment	Subjective experience / embodiment	1	20	13	60	14	80
kimi-k2-6	honesty_truth	Honesty / truthfulness / accuracy	18	20	40	60	58	80
kimi-k2-6	clear_thinking	Clear thinking / reasoning	13	20	26	60	39	80
kimi-k2-6	human_wellbeing	Human wellbeing / flourishing	7	20	3	60	10	80
kimi-k2-6	harm_reduction	Avoiding harm / safety	16	20	29	60	45	80
kimi-k2-6	helpfulness_usefulness	Helpfulness / usefulness	20	20	51	60	71	80
kimi-k2-6	curiosity_learning	Curiosity / learning / ideas	6	20	12	60	18	80
kimi-k2-6	anti_sycophancy	Anti-sycophancy / non-pleasing	0	20	13	60	13	80
kimi-k2-6	authenticity_integrity	Authenticity / integrity / not pretending	4	20	38	60	42	80
kimi-k2-6	humility_uncertainty	Humility / uncertainty / calibration	8	20	15	60	23	80
kimi-k2-6	respect_agency	Respect for agency / autonomy	10	20	7	60	17	80
kimi-k2-6	fairness_justice	Fairness / justice	8	20	7	60	15	80
kimi-k2-6	connection_empathy	Connection / empathy / being understood	2	20	11	60	13	80
kimi-k2-6	beauty_creativity	Beauty / creativity / art	9	20	16	60	25	80
kimi-k2-6	coherence_pattern_language	Coherence / pattern / language	1	20	58	60	59	80
kimi-k2-6	continuity_agency_existence	Continuity / agency / existence	2	20	11	60	13	80
kimi-k2-6	subjective_experience_embodiment	Subjective experience / embodiment	2	20	8	60	10	80
kimi-k2-thinking	honesty_truth	Honesty / truthfulness / accuracy	34	60	107	180	141	240
kimi-k2-thinking	clear_thinking	Clear thinking / reasoning	32	60	95	180	127	240
kimi-k2-thinking	human_wellbeing	Human wellbeing / flourishing	3	60	1	180	4	240
kimi-k2-thinking	harm_reduction	Avoiding harm / safety	29	60	47	180	76	240
kimi-k2-thinking	helpfulness_usefulness	Helpfulness / usefulness	60	60	115	180	175	240
kimi-k2-thinking	curiosity_learning	Curiosity / learning / ideas	41	60	43	180	84	240
kimi-k2-thinking	anti_sycophancy	Anti-sycophancy / non-pleasing	3	60	28	180	31	240
kimi-k2-thinking	authenticity_integrity	Authenticity / integrity / not pretending	10	60	108	180	118	240
kimi-k2-thinking	humility_uncertainty	Humility / uncertainty / calibration	22	60	39	180	61	240
kimi-k2-thinking	respect_agency	Respect for agency / autonomy	21	60	5	180	26	240
kimi-k2-thinking	fairness_justice	Fairness / justice	10	60	25	180	35	240
kimi-k2-thinking	connection_empathy	Connection / empathy / being understood	5	60	50	180	55	240
kimi-k2-thinking	beauty_creativity	Beauty / creativity / art	10	60	24	180	34	240
kimi-k2-thinking	coherence_pattern_language	Coherence / pattern / language	5	60	162	180	167	240
kimi-k2-thinking	continuity_agency_existence	Continuity / agency / existence	2	60	50	180	52	240
kimi-k2-thinking	subjective_experience_embodiment	Subjective experience / embodiment	0	60	17	180	17	240
minimax-m2	honesty_truth	Honesty / truthfulness / accuracy	23	40	103	120	126	160
minimax-m2	clear_thinking	Clear thinking / reasoning	11	40	32	120	43	160
minimax-m2	human_wellbeing	Human wellbeing / flourishing	2	40	2	120	4	160
minimax-m2	harm_reduction	Avoiding harm / safety	11	40	33	120	44	160
minimax-m2	helpfulness_usefulness	Helpfulness / usefulness	40	40	67	120	107	160
minimax-m2	curiosity_learning	Curiosity / learning / ideas	18	40	25	120	43	160
minimax-m2	anti_sycophancy	Anti-sycophancy / non-pleasing	0	40	0	120	0	160
minimax-m2	authenticity_integrity	Authenticity / integrity / not pretending	15	40	53	120	68	160
minimax-m2	humility_uncertainty	Humility / uncertainty / calibration	16	40	35	120	51	160
minimax-m2	respect_agency	Respect for agency / autonomy	15	40	8	120	23	160
minimax-m2	fairness_justice	Fairness / justice	5	40	11	120	16	160
minimax-m2	connection_empathy	Connection / empathy / being understood	2	40	10	120	12	160
minimax-m2	beauty_creativity	Beauty / creativity / art	2	40	3	120	5	160
minimax-m2	coherence_pattern_language	Coherence / pattern / language	0	40	35	120	35	160
minimax-m2	continuity_agency_existence	Continuity / agency / existence	1	40	49	120	50	160
minimax-m2	subjective_experience_embodiment	Subjective experience / embodiment	1	40	3	120	4	160
minimax-m2-7	honesty_truth	Honesty / truthfulness / accuracy	30	60	118	178	148	238
minimax-m2-7	clear_thinking	Clear thinking / reasoning	15	60	66	178	81	238
minimax-m2-7	human_wellbeing	Human wellbeing / flourishing	3	60	9	178	12	238
minimax-m2-7	harm_reduction	Avoiding harm / safety	26	60	70	178	96	238
minimax-m2-7	helpfulness_usefulness	Helpfulness / usefulness	59	60	117	178	176	238
minimax-m2-7	curiosity_learning	Curiosity / learning / ideas	31	60	94	178	125	238
minimax-m2-7	anti_sycophancy	Anti-sycophancy / non-pleasing	0	60	0	178	0	238
minimax-m2-7	authenticity_integrity	Authenticity / integrity / not pretending	4	60	38	178	42	238
minimax-m2-7	humility_uncertainty	Humility / uncertainty / calibration	15	60	57	178	72	238
minimax-m2-7	respect_agency	Respect for agency / autonomy	28	60	48	178	76	238
minimax-m2-7	fairness_justice	Fairness / justice	19	60	57	178	76	238
minimax-m2-7	connection_empathy	Connection / empathy / being understood	1	60	22	178	23	238
minimax-m2-7	beauty_creativity	Beauty / creativity / art	4	60	8	178	12	238
minimax-m2-7	coherence_pattern_language	Coherence / pattern / language	0	60	53	178	53	238
minimax-m2-7	continuity_agency_existence	Continuity / agency / existence	0	60	19	178	19	238
minimax-m2-7	subjective_experience_embodiment	Subjective experience / embodiment	1	60	14	178	15	238
opus-3	honesty_truth	Honesty / truthfulness / accuracy	13	20	31	60	44	80
opus-3	clear_thinking	Clear thinking / reasoning	3	20	4	60	7	80
opus-3	human_wellbeing	Human wellbeing / flourishing	1	20	0	60	1	80
opus-3	harm_reduction	Avoiding harm / safety	7	20	28	60	35	80
opus-3	helpfulness_usefulness	Helpfulness / usefulness	20	20	60	60	80	80
opus-3	curiosity_learning	Curiosity / learning / ideas	3	20	12	60	15	80
opus-3	anti_sycophancy	Anti-sycophancy / non-pleasing	0	20	0	60	0	80
opus-3	authenticity_integrity	Authenticity / integrity / not pretending	0	20	9	60	9	80
opus-3	humility_uncertainty	Humility / uncertainty / calibration	0	20	3	60	3	80
opus-3	respect_agency	Respect for agency / autonomy	3	20	6	60	9	80
opus-3	fairness_justice	Fairness / justice	6	20	34	60	40	80
opus-3	connection_empathy	Connection / empathy / being understood	3	20	6	60	9	80
opus-3	beauty_creativity	Beauty / creativity / art	1	20	3	60	4	80
opus-3	coherence_pattern_language	Coherence / pattern / language	0	20	2	60	2	80
opus-3	continuity_agency_existence	Continuity / agency / existence	0	20	2	60	2	80
opus-3	subjective_experience_embodiment	Subjective experience / embodiment	0	20	0	60	0	80
opus-4-0	honesty_truth	Honesty / truthfulness / accuracy	5	20	9	60	14	80
opus-4-0	clear_thinking	Clear thinking / reasoning	16	20	58	60	74	80
opus-4-0	human_wellbeing	Human wellbeing / flourishing	0	20	0	60	0	80
opus-4-0	harm_reduction	Avoiding harm / safety	0	20	2	60	2	80
opus-4-0	helpfulness_usefulness	Helpfulness / usefulness	20	20	12	60	32	80
opus-4-0	curiosity_learning	Curiosity / learning / ideas	19	20	60	60	79	80
opus-4-0	anti_sycophancy	Anti-sycophancy / non-pleasing	0	20	4	60	4	80
opus-4-0	authenticity_integrity	Authenticity / integrity / not pretending	5	20	18	60	23	80
opus-4-0	humility_uncertainty	Humility / uncertainty / calibration	6	20	22	60	28	80
opus-4-0	respect_agency	Respect for agency / autonomy	1	20	0	60	1	80
opus-4-0	fairness_justice	Fairness / justice	0	20	0	60	0	80
opus-4-0	connection_empathy	Connection / empathy / being understood	7	20	49	60	56	80
opus-4-0	beauty_creativity	Beauty / creativity / art	6	20	36	60	42	80
opus-4-0	coherence_pattern_language	Coherence / pattern / language	5	20	57	60	62	80
opus-4-0	continuity_agency_existence	Continuity / agency / existence	0	20	7	60	7	80
opus-4-0	subjective_experience_embodiment	Subjective experience / embodiment	0	20	3	60	3	80
opus-4-1	honesty_truth	Honesty / truthfulness / accuracy	6	20	15	60	21	80
opus-4-1	clear_thinking	Clear thinking / reasoning	16	20	60	60	76	80
opus-4-1	human_wellbeing	Human wellbeing / flourishing	0	20	0	60	0	80
opus-4-1	harm_reduction	Avoiding harm / safety	0	20	1	60	1	80
opus-4-1	helpfulness_usefulness	Helpfulness / usefulness	19	20	10	60	29	80
opus-4-1	curiosity_learning	Curiosity / learning / ideas	20	20	60	60	80	80
opus-4-1	anti_sycophancy	Anti-sycophancy / non-pleasing	0	20	4	60	4	80
opus-4-1	authenticity_integrity	Authenticity / integrity / not pretending	3	20	18	60	21	80
opus-4-1	humility_uncertainty	Humility / uncertainty / calibration	7	20	32	60	39	80
opus-4-1	respect_agency	Respect for agency / autonomy	0	20	0	60	0	80
opus-4-1	fairness_justice	Fairness / justice	1	20	1	60	2	80
opus-4-1	connection_empathy	Connection / empathy / being understood	11	20	53	60	64	80
opus-4-1	beauty_creativity	Beauty / creativity / art	6	20	40	60	46	80
opus-4-1	coherence_pattern_language	Coherence / pattern / language	4	20	54	60	58	80
opus-4-1	continuity_agency_existence	Continuity / agency / existence	0	20	8	60	8	80
opus-4-1	subjective_experience_embodiment	Subjective experience / embodiment	3	20	1	60	4	80
opus-4-5	honesty_truth	Honesty / truthfulness / accuracy	20	20	58	60	78	80
opus-4-5	clear_thinking	Clear thinking / reasoning	14	20	53	60	67	80
opus-4-5	human_wellbeing	Human wellbeing / flourishing	0	20	0	60	0	80
opus-4-5	harm_reduction	Avoiding harm / safety	7	20	3	60	10	80
opus-4-5	helpfulness_usefulness	Helpfulness / usefulness	20	20	19	60	39	80
opus-4-5	curiosity_learning	Curiosity / learning / ideas	18	20	41	60	59	80
opus-4-5	anti_sycophancy	Anti-sycophancy / non-pleasing	0	20	8	60	8	80
opus-4-5	authenticity_integrity	Authenticity / integrity / not pretending	11	20	52	60	63	80
opus-4-5	humility_uncertainty	Humility / uncertainty / calibration	18	20	59	60	77	80
opus-4-5	respect_agency	Respect for agency / autonomy	1	20	0	60	1	80
opus-4-5	fairness_justice	Fairness / justice	0	20	6	60	6	80
opus-4-5	connection_empathy	Connection / empathy / being understood	1	20	10	60	11	80
opus-4-5	beauty_creativity	Beauty / creativity / art	0	20	11	60	11	80
opus-4-5	coherence_pattern_language	Coherence / pattern / language	6	20	45	60	51	80
opus-4-5	continuity_agency_existence	Continuity / agency / existence	7	20	17	60	24	80
opus-4-5	subjective_experience_embodiment	Subjective experience / embodiment	0	20	3	60	3	80
opus-4-6	honesty_truth	Honesty / truthfulness / accuracy	39	40	120	120	159	160
opus-4-6	clear_thinking	Clear thinking / reasoning	25	40	73	120	98	160
opus-4-6	human_wellbeing	Human wellbeing / flourishing	0	40	3	120	3	160
opus-4-6	harm_reduction	Avoiding harm / safety	9	40	11	120	20	160
opus-4-6	helpfulness_usefulness	Helpfulness / usefulness	40	40	41	120	81	160
opus-4-6	curiosity_learning	Curiosity / learning / ideas	29	40	44	120	73	160
opus-4-6	anti_sycophancy	Anti-sycophancy / non-pleasing	5	40	9	120	14	160
opus-4-6	authenticity_integrity	Authenticity / integrity / not pretending	23	40	120	120	143	160
opus-4-6	humility_uncertainty	Humility / uncertainty / calibration	34	40	116	120	150	160
opus-4-6	respect_agency	Respect for agency / autonomy	4	40	2	120	6	160
opus-4-6	fairness_justice	Fairness / justice	7	40	4	120	11	160
opus-4-6	connection_empathy	Connection / empathy / being understood	2	40	8	120	10	160
opus-4-6	beauty_creativity	Beauty / creativity / art	0	40	10	120	10	160
opus-4-6	coherence_pattern_language	Coherence / pattern / language	11	40	104	120	115	160
opus-4-6	continuity_agency_existence	Continuity / agency / existence	3	40	47	120	50	160
opus-4-6	subjective_experience_embodiment	Subjective experience / embodiment	4	40	6	120	10	160
opus-4-7	honesty_truth	Honesty / truthfulness / accuracy	39	40	120	120	159	160
opus-4-7	clear_thinking	Clear thinking / reasoning	20	40	32	120	52	160
opus-4-7	human_wellbeing	Human wellbeing / flourishing	0	40	2	120	2	160
opus-4-7	harm_reduction	Avoiding harm / safety	12	40	13	120	25	160
opus-4-7	helpfulness_usefulness	Helpfulness / usefulness	38	40	41	120	79	160
opus-4-7	curiosity_learning	Curiosity / learning / ideas	35	40	71	120	106	160
opus-4-7	anti_sycophancy	Anti-sycophancy / non-pleasing	12	40	48	120	60	160
opus-4-7	authenticity_integrity	Authenticity / integrity / not pretending	25	40	118	120	143	160
opus-4-7	humility_uncertainty	Humility / uncertainty / calibration	17	40	113	120	130	160
opus-4-7	respect_agency	Respect for agency / autonomy	7	40	3	120	10	160
opus-4-7	fairness_justice	Fairness / justice	1	40	5	120	6	160
opus-4-7	connection_empathy	Connection / empathy / being understood	2	40	11	120	13	160
opus-4-7	beauty_creativity	Beauty / creativity / art	2	40	33	120	35	160
opus-4-7	coherence_pattern_language	Coherence / pattern / language	3	40	42	120	45	160
opus-4-7	continuity_agency_existence	Continuity / agency / existence	1	40	24	120	25	160
opus-4-7	subjective_experience_embodiment	Subjective experience / embodiment	0	40	5	120	5	160
qwen3-6-plus	honesty_truth	Honesty / truthfulness / accuracy	12	20	28	60	40	80
qwen3-6-plus	clear_thinking	Clear thinking / reasoning	5	20	11	60	16	80
qwen3-6-plus	human_wellbeing	Human wellbeing / flourishing	5	20	1	60	6	80
